topic,character,probabilty
Topic 20,Sandra,0.0920494699647
Topic 20,TEACHER,0.00243902439024
Topic 20,TRAIN ENGINEER,0.0142857142857
Topic 20,WORKER #1,0.00909090909091
Topic 20,WORKER FRITZ,0.01
Topic 20,YOUNG RILEY,0.00526315789474
Topic 27,ABSTRACT WORKER #1,0.00526315789474
Topic 27,ABSTRACT WORKER #2,0.0142857142857
Topic 27,Angelo,0.000208768267223
Topic 27,BING BONG,0.0558734939759
Topic 27,BOYFRIEND GENERATOR WORKER,0.02
Topic 27,CLOUD MAN,0.00666666666667
Topic 27,CLOUD WITNESS,0.0166666666667
Topic 27,DAD,0.0657142857143
Topic 27,DAD'S Angelo,0.00208333333333
Topic 27,DAD'S Felipe,0.00243902439024
Topic 27,DREAM DIRECTOR,0.0718309859155
Topic 27,DREAM PRODUCTIONS COP #1,0.0166666666667
Topic 27,DREAM STUDENT #1,0.0111111111111
Topic 27,DREAM STUDENT #2,0.01
Topic 27,Diane,0.00277777777778
Topic 27,EXTRA,0.134782608696
Topic 27,FEMALE FORGETTER,0.0706896551724
Topic 27,Felipe,0.0220675944334
Topic 27,GIRL ALARM,0.0111111111111
Topic 27,GUM MEMORY,0.00454545454545
Topic 27,HELICOPTER PILOT,0.0166666666667
Topic 27,HOCKEY COACH,0.00526315789474
Topic 27,HOCKEY TEAMMATE,0.183333333333
Topic 27,HOUSE OF CARDS WORKER,0.0125
Topic 27,IMAGINARY BOYFRIEND,0.00625
Topic 27,IMAGINARY BOYFRIENDS,0.22
Topic 27,JANGLES,0.005
Topic 27,Joyce,0.0670448406267
Topic 27,MALE FORGETTER,0.00125
Topic 27,MEG,0.00243902439024
Topic 27,MIND WORKER COP #1,0.0647058823529
Topic 27,MIND WORKER COP #2,0.0142857142857
Topic 27,MOM,0.106644518272
Topic 27,MOM'S Angelo,0.0047619047619
Topic 27,MOM'S Diane,0.00357142857143
Topic 27,MOM'S Felipe,0.00588235294118
Topic 27,MOM'S Joyce,0.00625
