time,scene_number,scene_name,character,quote,location,description
138,1,Moving to San Francisco,RILEY,Andersen make move close !,SAN FRANCISCO HOUSE,Riley face light Riley grab hockey stick put wad paper play
139,1,Moving to San Francisco,DAD,grab broom hey ! oh !,SAN FRANCISCO HOUSE,Riley face light Riley grab hockey stick put wad paper play
140,1,Moving to San Francisco,RILEY,line shot !,SAN FRANCISCO HOUSE,Riley face light Riley grab hockey stick put wad paper play
141,1,Moving to San Francisco,DAD,come behind ! watch !,SAN FRANCISCO HOUSE,Riley face light Riley grab hockey stick put wad paper play
142,1,Moving to San Francisco,RILEY,shoot score ! yeah !,SAN FRANCISCO HOUSE,slide past knock puck fireplace
143,1,Moving to San Francisco,RILEY,taunt mom come Grandma !,SAN FRANCISCO HOUSE,emotion cheer back window Family Island run
144,1,Moving to San Francisco,MOM,ha ! Grandma ?,SAN FRANCISCO HOUSE,emotion cheer back window Family Island run
145,1,Moving to San Francisco,Joyce,Uh-oh put hair !,HEADQUARTERS,emotion cheer back window Family Island run
146,1,Moving to San Francisco,MOM,laughing Woo ! hey put !,SAN FRANCISCO HOUSE,play hockey mom use pillow guard goal Dad pick shoot past
147,1,Moving to San Francisco,DAD,Ugh sorry hold hold answer hello ?,SAN FRANCISCO HOUSE,Dad cell phone beep
148,1,Moving to San Francisco,Joyce,wait Wha ?,HEADQUARTERS,Dad cell phone beep
149,1,Moving to San Francisco,DAD,kid right stall right hang investor suppose show Thursday today ! get ta go,SAN FRANCISCO HOUSE,Dad cell phone beep
150,1,Moving to San Francisco,MOM,okay get,SAN FRANCISCO HOUSE,Joyce disappoint
151,1,Moving to San Francisco,DAD,best thanks Riley leave see Sweetie,SAN FRANCISCO HOUSE,Joyce disappoint
152,1,Moving to San Francisco,Felipe,Dad leave,HEADQUARTERS,Joyce disappoint
153,1,Moving to San Francisco,Sandra,oh love anymore sad drive right ?,HEADQUARTERS,Joyce disappoint
154,1,Moving to San Francisco,Sandra,Joyce ? ?,JOY BLOCKS HER.,Joyce disappoint
155,1,Moving to San Francisco,Joyce,uh uh gim one second know realize ? Riley lunch ! take memory wall play remember ?,JOY BLOCKS HER.,Joyce disappoint
156,1,Moving to San Francisco,RILEY,hey see pizza place street maybe could try ?,SAN FRANCISCO HOUSE,Joyce disappoint
