time,scene_number,scene_name,character,quote,location,description
488,4,Try to escape from Long-Term Memory,Joyce,map ! let go ! lead Mind Map ! show go !,LONG-TERM MEMORY,Joyce stop Sandra right wait !
489,4,Try to escape from Long-Term Memory,Sandra,okay ! sad walk give hour,LONG-TERM MEMORY,Joyce stop Sandra right wait !
490,4,Try to escape from Long-Term Memory,Joyce,way ? leave ?,LONG-TERM MEMORY,Joyce grab Sandra leg drag shelf
491,4,Try to escape from Long-Term Memory,Sandra,right Joyce turn right mean go left say left right like correct,LONG-TERM MEMORY,Joyce grab Sandra leg drag shelf
492,4,Try to escape from Long-Term Memory,Joyce,okay,LONG-TERM MEMORY,Joyce grab Sandra leg drag shelf
493,4,Try to escape from Long-Term Memory,Sandra,actually feel kind nice,LONG-TERM MEMORY,Joyce grab Sandra leg drag shelf
494,4,Try to escape from Long-Term Memory,Joyce,okay ! go back headquarters morning easy work !,LONG-TERM MEMORY,Joyce head complicated labyrinth ahead
495,4,Try to escape from Long-Term Memory,Joyce,work get close ?,LONG-TERM MEMORY,Joyce exhaust drag Sandra maze shelf
496,4,Try to escape from Long-Term Memory,Sandra,yeah another right left another leave right,LONG-TERM MEMORY,Joyce exhaust drag Sandra maze shelf
497,4,Try to escape from Long-Term Memory,Joyce,sure know go ? seem walk away headquarters,LONG-TERM MEMORY,Joyce exhaust drag Sandra maze shelf
498,4,Try to escape from Long-Term Memory,Joyce,Riley awake,LONG-TERM MEMORY,sky brighten day still lose
499,4,Try to escape from Long-Term Memory,Joyce,ah ah ah touch remember ? touch stay sad !,LONG-TERM MEMORY,Joyce drop core memory Sandra reach grab
500,4,Try to escape from Long-Term Memory,Sandra,oh sorry,LONG-TERM MEMORY,Joyce drop core memory Sandra reach grab
501,4,Try to escape from Long-Term Memory,Sandra,start,LONG-TERM MEMORY,Joyce look behind bottom row memory BLUE
502,4,Try to escape from Long-Term Memory,Joyce,take much,LONG-TERM MEMORY,Joyce look behind bottom row memory BLUE
503,4,Try to escape from Long-Term Memory,MALE FORGETTER,forget !,LONG-TERM MEMORY,Joyce look behind bottom row memory BLUE
504,4,Try to escape from Long-Term Memory,Joyce,Mind Workers !,LONG-TERM MEMORY,Joyce look behind bottom row memory BLUE
505,4,Try to escape from Long-Term Memory,Sandra,Joyce almost ohhhh,LONG-TERM MEMORY,Joyce run toward voice
506,4,Try to escape from Long-Term Memory,FEMALE FORGETTER,phone number need phone,LONG-TERM MEMORY,Joyce find two worker vacuum memory shelf
507,4,Try to escape from Long-Term Memory,MALE FORGETTER,forget please forget !,LONG-TERM MEMORY,Joyce find two worker vacuum memory shelf
508,4,Try to escape from Long-Term Memory,Joyce,excuse hus need find Friendship Island,LONG-TERM MEMORY,Joyce find two worker vacuum memory shelf
509,4,Try to escape from Long-Term Memory,FEMALE FORGETTER,point memory look four year piano lesson,LONG-TERM MEMORY,Joyce find two worker vacuum memory shelf
510,4,Try to escape from Long-Term Memory,MALE FORGETTER,yeah look pretty fade,LONG-TERM MEMORY,Joyce find two worker vacuum memory shelf
511,4,Try to escape from Long-Term Memory,FEMALE FORGETTER,know ? save Chopsticks Heart Soul get rid rest,LONG-TERM MEMORY,Joyce find two worker vacuum memory shelf
512,4,Try to escape from Long-Term Memory,Joyce,,LONG-TERM MEMORY,Zoop ! memory get vacuum
513,4,Try to escape from Long-Term Memory,FEMALE FORGETTER,Presidents think ?,LONG-TERM MEMORY,Zoop ! memory get vacuum
514,4,Try to escape from Long-Term Memory,MALE FORGETTER,eh keep Washington Lincoln fat one,LONG-TERM MEMORY,Zoop ! memory get vacuum
515,4,Try to escape from Long-Term Memory,FEMALE FORGETTER,forget !,LONG-TERM MEMORY,Zoop ! memory get vacuum
516,4,Try to escape from Long-Term Memory,Joyce,hey ! throw away ! perfectly good memory,LONG-TERM MEMORY,Zoop ! memory get vacuum
517,4,Try to escape from Long-Term Memory,MALE FORGETTER,name every Cutie Pie Princess doll ?,LONG-TERM MEMORY,Zoop ! memory get vacuum
518,4,Try to escape from Long-Term Memory,Joyce,yes ! critical information ! Glitterstorm Honeypants Officer Justice,LONG-TERM MEMORY,Zoop ! memory get vacuum
519,4,Try to escape from Long-Term Memory,FEMALE FORGETTER,forget !,LONG-TERM MEMORY,Zoop ! memory get vacuum
520,4,Try to escape from Long-Term Memory,Joyce,hey ! bring back,LONG-TERM MEMORY,memory shoot sewer pipe fall darkness memory dump
521,4,Try to escape from Long-Term Memory,FEMALE FORGETTER,dump nothing come back dump,LONG-TERM MEMORY,memory shoot sewer pipe fall darkness memory dump
522,4,Try to escape from Long-Term Memory,MALE FORGETTER,yeah look lady job ok ?,LONG-TERM MEMORY,memory shoot sewer pipe fall darkness memory dump
523,4,Try to escape from Long-Term Memory,FEMALE FORGETTER,Riley care memory fade,LONG-TERM MEMORY,memory shoot sewer pipe fall darkness memory dump
524,4,Try to escape from Long-Term Memory,Joyce,Fades ?,LONG-TERM MEMORY,memory shoot sewer pipe fall darkness memory dump
525,4,Try to escape from Long-Term Memory,FEMALE FORGETTER,happen best,LONG-TERM MEMORY,memory shoot sewer pipe fall darkness memory dump
526,4,Try to escape from Long-Term Memory,MALE FORGETTER,pull memory cart except bad boy ! one never fade,LONG-TERM MEMORY,memory shoot sewer pipe fall darkness memory dump
527,4,Try to escape from Long-Term Memory,Joyce,recognize song gum commercial ?,LONG-TERM MEMORY,memory shoot sewer pipe fall darkness memory dump
528,4,Try to escape from Long-Term Memory,MALE FORGETTER,conspiratorial sometimes send one headquarters reason,LONG-TERM MEMORY,memory shoot sewer pipe fall darkness memory dump
529,4,Try to escape from Long-Term Memory,FEMALE FORGETTER,play Riley head like million time ! ha ! let watch !,LONG-TERM MEMORY,memory shoot sewer pipe fall darkness memory dump
530,4,Try to escape from Long-Term Memory,MALE FORGETTER,tripledent gum make smile ! tripledent gum ! last ! tripledent gum help mister punch bad breath right kisser,LONG-TERM MEMORY,rewind play sing along
531,4,Try to escape from Long-Term Memory,Joyce,know song okay yup real catchy,LONG-TERM MEMORY,rewind play sing along
532,4,Try to escape from Long-Term Memory,MALE FORGETTER,female forgetter ya think ? ?,LONG-TERM MEMORY,rewind play sing along
533,4,Try to escape from Long-Term Memory,FEMALE FORGETTER,yeah ! ha ha !,LONG-TERM MEMORY,rewind play sing along
534,4,Try to escape from Long-Term Memory,MALE FORGETTER,ok go ! ha ha ha !,LONG-TERM MEMORY,rewind play sing along
535,4,Try to escape from Long-Term Memory,GUM MEMORY,tripledent gum make smile ! tripledent gum ! last,HEADQUARTERS,Felipe Angelo Diane peaceful morning memory drop headquarters play full volume
536,4,Try to escape from Long-Term Memory,Angelo,Wha !?!,HEADQUARTERS,Felipe Angelo Diane peaceful morning memory drop headquarters play full volume
537,4,Try to escape from Long-Term Memory,Joyce,follow wait ! know get Friendship Island ?!,LONG-TERM MEMORY,forgetter walk away laugh singing
538,5,Meet Bing Bong,MEG,computer like ? feel earthquake ? bridge cool ?,SAN FRANCISCO HOUSE,Riley laptop stomach hum tripledent gum song
539,5,Meet Bing Bong,RILEY,yeah good happen playoff ?,SAN FRANCISCO HOUSE,Riley laptop stomach hum tripledent gum song
540,5,Meet Bing Bong,MEG,win first game coach say might actually go final year oh get new girl team cool,SAN FRANCISCO HOUSE,Riley laptop stomach hum tripledent gum song
541,5,Meet Bing Bong,Diane,oh NOT say,HEADQUARTERS,Riley laptop stomach hum tripledent gum song
542,5,Meet Bing Bong,Felipe,new girl ? Meg new friend already ?!,HEADQUARTERS,Riley laptop stomach hum tripledent gum song
543,5,Meet Bing Bong,Diane,hey hey stay happy ! want lose island guy !,HEADQUARTERS,Angelo growl
544,5,Meet Bing Bong,MEG,pass puck without even look like mind reading !,SAN FRANCISCO HOUSE,Angelo growl
545,5,Meet Bing Bong,Angelo,like read mind Meg ? get something read right ! grab control,HEADQUARTERS,Angelo growl
546,5,Meet Bing Bong,Diane,?!,HEADQUARTERS,Angelo growl
547,5,Meet Bing Bong,Felipe,wait wait let calm one second,HEADQUARTERS,Angelo growl
548,5,Meet Bing Bong,Angelo,GAAAAAA !!!!,HEADQUARTERS,Angelo snap Felipe nose like rubber band Angelo slam control forward like lunatic
549,5,Meet Bing Bong,MEG,hear parrot live,SAN FRANCISCO HOUSE,Angelo snap Felipe nose like rubber band Angelo slam control forward like lunatic
550,5,Meet Bing Bong,RILEY,get ta go,SAN FRANCISCO HOUSE,Angelo snap Felipe nose like rubber band Angelo slam control forward like lunatic
551,5,Meet Bing Bong,MEG,?,SAN FRANCISCO HOUSE,Angelo snap Felipe nose like rubber band Angelo slam control forward like lunatic
552,5,Meet Bing Bong,RILEY,get TA GO,SAN FRANCISCO HOUSE,Angelo snap Felipe nose like rubber band Angelo slam control forward like lunatic
553,5,Meet Bing Bong,Joyce,?,LONG-TERM MEMORY,Joyce follow forgetter try get direction ignore sing gum-commercial jingle horrible mechanical groaning sound Joyce react
554,5,Meet Bing Bong,Joyce,friendship island ?,LONG-TERM MEMORY,Joyce round corner see Friendship Island crumble
555,5,Meet Bing Bong,Joyce,Wh ?,LONG-TERM MEMORY,FRIENDSHIP CORE MEMORY Joyce hold fade run forward
556,5,Meet Bing Bong,Joyce,ohh friendship,LONG-TERM MEMORY,look horror Friendship Island fall
557,5,Meet Bing Bong,Sandra,oh Riley love one GONE Goodbye friendship hello loneliness,LONG-TERM MEMORY,Joyce hug core memory one memory young Riley Meg walk together
558,5,Meet Bing Bong,Joyce,try stay positive go long way,LONG-TERM MEMORY,Joyce see hockey island distance
559,5,Meet Bing Bong,Sandra,yeah long long looong way ready,LONG-TERM MEMORY,turn look back deep memory shelf
560,5,Meet Bing Bong,Joyce,ah yes pull Sandra get ta better way,LONG-TERM MEMORY,Sandra lie ground offer leg Joyce sigh want
561,5,Meet Bing Bong,BING BONG,talk memory ohhh look keeper !,LONG-TERM MEMORY,Sandra lie ground offer leg Joyce sigh want
562,5,Meet Bing Bong,Joyce,Huh ?,LONG-TERM MEMORY,Sandra lie ground offer leg Joyce sigh want
563,5,Meet Bing Bong,BING BONG,take beat oh kidding leave !,LONG-TERM MEMORY,Joyce see strange figure ahead gather memory
564,5,Meet Bing Bong,Joyce,hello !,LONG-TERM MEMORY,Joyce see strange figure ahead gather memory
565,5,Meet Bing Bong,Joyce,wait ! hey wait ! stop !,LONG-TERM MEMORY,figure see Joyce bolt
566,5,Meet Bing Bong,Joyce,excuse ?,LONG-TERM MEMORY,Joyce round corner find figure crouch ground hide face hand like three year old
567,5,Meet Bing Bong,BING BONG,jump corner ahhhh ! uh look uh grab memory diversion !,LONG-TERM MEMORY,Joyce round corner find figure crouch ground hide face hand like three year old
568,5,Meet Bing Bong,BING BONG,ha ha ! long sucker !,LONG-TERM MEMORY,throw make run
569,5,Meet Bing Bong,BING BONG,ow ! oww hurt,LONG-TERM MEMORY,immediately crash cart memory
570,5,Meet Bing Bong,Joyce,wait know,LONG-TERM MEMORY,immediately crash cart memory
571,5,Meet Bing Bong,BING BONG,get lot look like lot people,LONG-TERM MEMORY,immediately crash cart memory
572,5,Meet Bing Bong,Joyce,! Bing Bong ! Riley Imaginary friend !,LONG-TERM MEMORY,immediately crash cart memory
573,5,Meet Bing Bong,BING BONG,really DO know !,LONG-TERM MEMORY,immediately crash cart memory
574,5,Meet Bing Bong,Joyce,well course ! Riley love play two best friend ! oh ! would know try get back headquarters,LONG-TERM MEMORY,immediately crash cart memory
575,5,Meet Bing Bong,BING BONG,headquarters ? guy headquarters ?,LONG-TERM MEMORY,immediately crash cart memory
576,5,Meet Bing Bong,Joyce,mock modesty well yeah Joyce Sandra,LONG-TERM MEMORY,immediately crash cart memory
577,5,Meet Bing Bong,BING BONG,Joyce ? Joyce ?,LONG-TERM MEMORY,immediately crash cart memory
578,5,Meet Bing Bong,Joyce,mm-hmm,LONG-TERM MEMORY,immediately crash cart memory
579,5,Meet Bing Bong,BING BONG,well heck ?,LONG-TERM MEMORY,immediately crash cart memory
580,5,Meet Bing Bong,Joyce,good question ! want answer Sandra ?,LONG-TERM MEMORY,immediately crash cart memory
581,5,Meet Bing Bong,BING BONG,without Riley ever happy get ta get back ! tell follow,LONG-TERM MEMORY,immediately crash cart memory
582,5,Meet Bing Bong,Joyce,oh thank !,LONG-TERM MEMORY,immediately crash cart memory
583,5,Meet Bing Bong,Joyce,great see get ta tell huge fan work remember Riley band ?,LONG-TERM MEMORY,Bing Bong lead memory shelf
584,5,Meet Bing Bong,Joyce,go concert,LONG-TERM MEMORY,flash cut adventure Riley bang pot pan Bing Bong play trunk
585,5,Meet Bing Bong,BING BONG,yeah blow mean nose,LONG-TERM MEMORY,flash cut adventure Riley bang pot pan Bing Bong play trunk
586,5,Meet Bing Bong,Joyce,watch play tag treat,LONG-TERM MEMORY,Bing Bong run ceiling Riley chase
587,5,Meet Bing Bong,BING BONG,two-time world champ,LONG-TERM MEMORY,Bing Bong run ceiling Riley chase
588,5,Meet Bing Bong,Joyce,oh remember rocket ?!,LONG-TERM MEMORY,Riley Bing Bong sit wagon rocket
589,5,Meet Bing Bong,BING BONG,course ! run song power,LONG-TERM MEMORY,Riley Bing Bong sit wagon rocket
590,5,Meet Bing Bong,Joyce,right theme song ! singing friend like play ?,LONG-TERM MEMORY,Riley Bing Bong sit wagon rocket
591,5,Meet Bing Bong,BING BONG,sing BING BONG BING BONG !,LONG-TERM MEMORY,Riley Bing Bong sit wagon rocket
592,5,Meet Bing Bong,Joyce,rocket make yell Hooray !,LONG-TERM MEMORY,Riley Bing Bong sit wagon rocket
593,5,Meet Bing Bong,BING BONG,BING BONG BING BONG !,LONG-TERM MEMORY,Riley Bing Bong sit wagon rocket
594,5,Meet Bing Bong,Joyce,BING BONG BING BONG !,LONG-TERM MEMORY,Riley Bing Bong sit wagon rocket
595,5,Meet Bing Bong,Sandra,exactly suppose ?,LONG-TERM MEMORY,Sandra eye Bing Bong pink elephant make cat tail
596,5,Meet Bing Bong,BING BONG,know unclear mostly cotton candy shape-wise part cat part elephant part dolphin,LONG-TERM MEMORY,Sandra eye Bing Bong pink elephant make cat tail
597,5,Meet Bing Bong,Joyce,Dolphin ?,LONG-TERM MEMORY,Sandra eye Bing Bong pink elephant make cat tail
598,5,Meet Bing Bong,BING BONG,get ta remember Riley three animal rage cow go moo horse go neigh people talk back,LONG-TERM MEMORY,Bing Bong spot-on dolphin impression
599,5,Meet Bing Bong,Joyce,yeah guess true ?,LONG-TERM MEMORY,Bing Bong spot-on dolphin impression
600,5,Meet Bing Bong,BING BONG,well much call imaginary friend lately uh know,LONG-TERM MEMORY,Bing Bong spot-on dolphin impression
601,5,Meet Bing Bong,Joyce,hey hey sad tell get back headquarters make sure Riley remember,LONG-TERM MEMORY,Bing Bong spot-on dolphin impression
602,5,Meet Bing Bong,BING BONG,?!,LONG-TERM MEMORY,Bing Bong spot-on dolphin impression
603,5,Meet Bing Bong,Joyce,course would love !,LONG-TERM MEMORY,Bing Bong spot-on dolphin impression
604,5,Meet Bing Bong,BING BONG,ha ha ! greatest day life !,LONG-TERM MEMORY,Bing Bong spot-on dolphin impression
605,5,Meet Bing Bong,Joyce,okay ?,LONG-TERM MEMORY,launch jig hurt burst tear candy pour tear duct
606,5,Meet Bing Bong,Sandra,go ?,LONG-TERM MEMORY,launch jig hurt burst tear candy pour tear duct
607,5,Meet Bing Bong,BING BONG,cry candy try caramel delicious,LONG-TERM MEMORY,launch jig hurt burst tear candy pour tear duct
608,5,Meet Bing Bong,Joyce,ooo fumble memory woah !,LONG-TERM MEMORY,launch jig hurt burst tear candy pour tear duct
609,5,Meet Bing Bong,BING BONG,oh use offer satchel,LONG-TERM MEMORY,launch jig hurt burst tear candy pour tear duct
610,5,Meet Bing Bong,Joyce,thanks !,LONG-TERM MEMORY,launch jig hurt burst tear candy pour tear duct
611,5,Meet Bing Bong,BING BONG,oh hold wait second,LONG-TERM MEMORY,launch jig hurt burst tear candy pour tear duct
612,5,Meet Bing Bong,BING BONG,? imaginary,LONG-TERM MEMORY,empty impossible amount stuff ton memory boot anchor cat Joyce Sandra stare amazement
613,5,Meet Bing Bong,Joyce,thanks ! make lot easier walk back headquarters,LONG-TERM MEMORY,Joyce accept satchel put core memory
614,5,Meet Bing Bong,BING BONG,walk ? walkin ! take train Thought !,LONG-TERM MEMORY,Joyce accept satchel put core memory
615,5,Meet Bing Bong,Joyce,train course ! much faster ! catch ?,LONG-TERM MEMORY,point train speeding towards headquarters
616,5,Meet Bing Bong,BING BONG,well kind go place station Imaginationland know short cut come way !,LONG-TERM MEMORY,point train speeding towards headquarters
617,5,Meet Bing Bong,Joyce,glad run !,LONG-TERM MEMORY,point train speeding towards headquarters
618,5,Meet Bing Bong,BING BONG,station right,LONG-TERM MEMORY,giant building block progress Bing Bong open door dark inside
619,5,Meet Bing Bong,BING BONG,,LONG-TERM MEMORY,train station visible door side
620,5,Meet Bing Bong,Sandra,Joyce,LONG-TERM MEMORY,train station visible door side
621,5,Meet Bing Bong,Joyce,?,LONG-TERM MEMORY,train station visible door side
622,5,Meet Bing Bong,Sandra,read place manual go,LONG-TERM MEMORY,train station visible door side
623,5,Meet Bing Bong,Joyce,Bing Bong say quickest way headquarters,LONG-TERM MEMORY,train station visible door side
624,5,Meet Bing Bong,Sandra,Joyce abstract Thought,LONG-TERM MEMORY,train station visible door side
625,5,Meet Bing Bong,BING BONG,talk ? go time shortcut see ?,LONG-TERM MEMORY,train station visible door side
626,5,Meet Bing Bong,BING BONG,shortcut prove climb look ! closer station take shortcut !,LONG-TERM MEMORY,point Danger sign door
627,5,Meet Bing Bong,Sandra,let go around way,LONG-TERM MEMORY,point Danger sign door
628,5,Meet Bing Bong,BING BONG,almost !,LONG-TERM MEMORY,point building huge long way around
629,5,Meet Bing Bong,Joyce,Sandra want walk long way go Riley need happy miss train walk Bing Bong know part dolphin smart,LONG-TERM MEMORY,Joyce look back Bing Bong station right
630,5,Meet Bing Bong,Sandra,well guess,LONG-TERM MEMORY,Joyce look back Bing Bong station right
631,5,Meet Bing Bong,ABSTRACT WORKER #1,okay abstract concept try comprehend today ?,ABSTRACT THOUGHT BUILDING,two Mind Workers approach door trio enter
632,5,Meet Bing Bong,ABSTRACT WORKER #2,check clipboard um loneliness,ABSTRACT THOUGHT BUILDING,two Mind Workers approach door trio enter
633,5,Meet Bing Bong,ABSTRACT WORKER #1,hm look like something go turn minute burn gunk,ABSTRACT THOUGHT BUILDING,two Mind Workers approach door trio enter
634,5,Meet Bing Bong,BING BONG,would tell ya ? headquarters time,ABSTRACT THOUGHT BUILDING,close door
635,5,Meet Bing Bong,BING BONG,say would look !,ABSTRACT THOUGHT BUILDING,bam ! door close behind LIGHTS GO ON
636,5,Meet Bing Bong,Joyce,whoa ! happen ?!,ABSTRACT THOUGHT BUILDING,around strange shape float space
637,5,Meet Bing Bong,Sandra,oh turn,ABSTRACT THOUGHT BUILDING,around strange shape float space
638,5,Meet Bing Bong,BING BONG,huh ! never see,ABSTRACT THOUGHT BUILDING,around strange shape float space
639,5,Meet Bing Bong,BING BONG,face ! beautiful face !,ABSTRACT THOUGHT BUILDING,Bing Bong head turn picasso-like form Joyce Sandra scream become cubist version
640,5,Meet Bing Bong,Joyce,go ?,ABSTRACT THOUGHT BUILDING,Bing Bong head turn picasso-like form Joyce Sandra scream become cubist version
641,5,Meet Bing Bong,Sandra,abstract ! four stage first non objective fragmentation !,ABSTRACT THOUGHT BUILDING,Bing Bong head turn picasso-like form Joyce Sandra scream become cubist version
642,5,Meet Bing Bong,BING BONG,Alright panic ! important stay together,ABSTRACT THOUGHT BUILDING,Bing Bong head turn picasso-like form Joyce Sandra scream become cubist version
643,5,Meet Bing Bong,Joyce,ah !,ABSTRACT THOUGHT BUILDING,arm fall
644,5,Meet Bing Bong,Sandra,second stage deconstruct !,ABSTRACT THOUGHT BUILDING,Joyce head fall Sandra leg go topple
645,5,Meet Bing Bong,BING BONG,Run !,ABSTRACT THOUGHT BUILDING,Joyce head fall Sandra leg go topple
646,5,Meet Bing Bong,BING BONG,Aaah ! feel leg ! disassembled arm find oh,ABSTRACT THOUGHT BUILDING,Bing Bing fall piece
647,5,Meet Bing Bong,Joyce,come !,ABSTRACT THOUGHT BUILDING,Bing Bing fall piece
648,5,Meet Bing Bong,Sandra,get ta get nothing shape color ! get stick forever !,ABSTRACT THOUGHT BUILDING,gather piece rush exit
649,5,Meet Bing Bong,Joyce,Stuck ?! come ?!,ABSTRACT THOUGHT BUILDING,gather piece rush exit
650,5,Meet Bing Bong,BING BONG,tell shortcut !,ABSTRACT THOUGHT BUILDING,gather piece rush exit
651,5,Meet Bing Bong,Joyce,train !,ABSTRACT THOUGHT BUILDING,though window train THOUGHT pull
652,5,Meet Bing Bong,Sandra,oh two-dimensional ! stage three !,ABSTRACT THOUGHT BUILDING,POP ! change FLAT COLOR version
653,5,Meet Bing Bong,Joyce,get nowhere !,ABSTRACT THOUGHT BUILDING,POP ! change FLAT COLOR version
654,5,Meet Bing Bong,BING BONG,depth ! lack depth !,ABSTRACT THOUGHT BUILDING,POP ! change FLAT COLOR version
655,5,Meet Bing Bong,Joyce,come !,ABSTRACT THOUGHT BUILDING,hard move struggle towards window
656,5,Meet Bing Bong,Joyce,augh ! fit !,ABSTRACT THOUGHT BUILDING,Sandra Bing Bong follow try squeeze broken perspective huge compare door
657,5,Meet Bing Bong,Sandra,oh nonfigurative last stage !,ABSTRACT THOUGHT BUILDING,POP ! abstract abstract colored blob
658,5,Meet Bing Bong,BING BONG,go make !,ABSTRACT THOUGHT BUILDING,POP ! abstract abstract colored blob
659,5,Meet Bing Bong,Sandra,wait ! two dimensional fall face ! crawl like inchworm,ABSTRACT THOUGHT BUILDING,Sandra slump ground become line !
660,5,Meet Bing Bong,Joyce,oh !,ABSTRACT THOUGHT BUILDING,Sandra slump ground become line !
661,5,Meet Bing Bong,Joyce,wait ! stop ! stop ! stop !,ABSTRACT THOUGHT BUILDING,three line land outside train pull get go line barely move
662,5,Meet Bing Bong,Joyce,bing Bong think say shortcut,ABSTRACT THOUGHT BUILDING,POP ! Joyce go non-representational two-dimensional fall flat train speed POP ! three transform back normal
663,5,Meet Bing Bong,BING BONG,wow go dangerous ! really put sign,ABSTRACT THOUGHT BUILDING,POP ! Joyce go non-representational two-dimensional fall flat train speed POP ! three transform back normal
664,5,Meet Bing Bong,Joyce,long till next train ?,ABSTRACT THOUGHT BUILDING,POP ! Joyce go non-representational two-dimensional fall flat train speed POP ! three transform back normal
665,5,Meet Bing Bong,BING BONG,know ? worry another station way ! point train always stop right go headquarters hurry catch !,ABSTRACT THOUGHT BUILDING,POP ! Joyce go non-representational two-dimensional fall flat train speed POP ! three transform back normal
666,5,Meet Bing Bong,Joyce,another one short cut ?,ABSTRACT THOUGHT BUILDING,POP ! Joyce go non-representational two-dimensional fall flat train speed POP ! three transform back normal
667,5,Meet Bing Bong,BING BONG,laughing exuberantly yeah !,ABSTRACT THOUGHT BUILDING,POP ! Joyce go non-representational two-dimensional fall flat train speed POP ! three transform back normal
668,5,Meet Bing Bong,Joyce,Sandra really another station ?,ABSTRACT THOUGHT BUILDING,Joyce skeptically watch head
669,5,Meet Bing Bong,Sandra,uh-huh,ABSTRACT THOUGHT BUILDING,Joyce skeptically watch head
670,5,Meet Bing Bong,BING BONG,welcome Imaginationland !,ABSTRACT THOUGHT BUILDING,Bing Bong lead towards impressive gate
671,5,Meet Bing Bong,Joyce,Imaginationland ?,IMAGINATIONLAND,Bing Bong lead towards impressive gate
672,5,Meet Bing Bong,BING BONG,sure ! come time practically mayor hey guy hungry ? french Fry Forest ! start eating nom nom nom delicious !,IMAGINATIONLAND,Bing Bong lead towards impressive gate
673,5,Meet Bing Bong,Joyce,way !,IMAGINATIONLAND,Joyce loving
674,5,Meet Bing Bong,BING BONG,check ! trophy town ! medal ! ribbon ! everyone winner !,IMAGINATIONLAND,Joyce loving
675,5,Meet Bing Bong,BING BONG,win first place !,IMAGINATIONLAND,Bing Bong kick soccer ball giant goal worker appear nowhere shower award
676,5,Meet Bing Bong,Joyce,!,IMAGINATIONLAND,worker give Joyce medal Sandra ribbon
677,5,Meet Bing Bong,Sandra,Hohh participation award,IMAGINATIONLAND,worker give Joyce medal Sandra ribbon
678,5,Meet Bing Bong,Joyce,wait Sandra look Cloud Town ! favorite !,IMAGINATIONLAND,worker give Joyce medal Sandra ribbon
679,5,Meet Bing Bong,Joyce,soft !,IMAGINATIONLAND,Joyce rip chunk cloud float air
680,5,Meet Bing Bong,BING BONG,woah ! let try !,IMAGINATIONLAND,Joyce jump run
681,5,Meet Bing Bong,CLOUD MAN,hey ! big idea ? would better fix wall else big troub,IMAGINATIONLAND,Bing Bong rip cloud cloud man emerge house angry
682,5,Meet Bing Bong,Joyce,oh lava ! Whooo !,IMAGINATIONLAND,Joyce Bing Bong gleefully jump couch cushion
683,5,Meet Bing Bong,BING BONG,Whawhoooo ! Imaginationland best !,IMAGINATIONLAND,Joyce Bing Bong gleefully jump couch cushion
684,5,Meet Bing Bong,Sandra,go interactive ?,IMAGINATIONLAND,Sandra try jump rock barely make
685,5,Meet Bing Bong,BING BONG,hey look ! House Cards !! Ooh wait hang minute,IMAGINATIONLAND,Sandra try jump rock barely make
686,5,Meet Bing Bong,Joyce,rocket !,IMAGINATIONLAND,nearby garage make card Bing Bong pull wagon
687,5,Meet Bing Bong,BING BONG,yeah ! stash safekeep set take Riley moon !,IMAGINATIONLAND,nearby garage make card Bing Bong pull wagon
688,5,Meet Bing Bong,BING BONG,oh sorry,IMAGINATIONLAND,gesture proudly accidentally knock house
689,5,Meet Bing Bong,HOUSE OF CARDS WORKER,Great,IMAGINATIONLAND,gesture proudly accidentally knock house
690,5,Meet Bing Bong,Joyce,love imaginationland !,IMAGINATIONLAND,gesture proudly accidentally knock house
691,5,Meet Bing Bong,BING BONG,great ? always something new like,IMAGINATIONLAND,gesture proudly accidentally knock house
692,5,Meet Bing Bong,BING BONG,heck ?,IMAGINATIONLAND,giant machine conveyer belt reveal handsome teenager
693,5,Meet Bing Bong,BOYFRIEND GENERATOR WORKER,imaginary boyfriend,IMAGINATIONLAND,giant machine conveyer belt reveal handsome teenager
694,5,Meet Bing Bong,IMAGINARY BOYFRIEND,would die Riley,IMAGINATIONLAND,giant machine conveyer belt reveal handsome teenager
695,5,Meet Bing Bong,BING BONG,never see,IMAGINATIONLAND,Joyce grimace
696,5,Meet Bing Bong,IMAGINARY BOYFRIEND,live Canada,IMAGINATIONLAND,Joyce grimace
697,5,Meet Bing Bong,BING BONG,anyway way Preschool World ! nearly train !,IMAGINATIONLAND,Joyce grimace
698,5,Meet Bing Bong,Joyce,Riley come !,IMAGINATIONLAND,Joyce grimace
699,6,Hockey Tryouts,MOM,fun New team new friend ! kid look pretty good consider San Francisco Heh heh !,HOCKEY RINK,mom Riley sit bleacher
700,6,Hockey Tryouts,HOCKEY COACH,okay Andersen !,HOCKEY RINK,mom Riley sit bleacher
701,6,Hockey Tryouts,RILEY,get ta go,HOCKEY RINK,mom Riley sit bleacher
702,6,Hockey Tryouts,MOM,okay good luck sweetie !,HOCKEY RINK,Riley head onto ice
703,6,Hockey Tryouts,Diane,Luck gon na help try use hockey island go,HEADQUARTERS,Riley head onto ice
704,6,Hockey Tryouts,Felipe,recall every hockey memory think,HEADQUARTERS,Riley head onto ice
705,6,Hockey Tryouts,Felipe,one get work place core memory,HEADQUARTERS,emotion stand ankle deep memory
706,6,Hockey Tryouts,Angelo,play ! hurry !,HEADQUARTERS,hockey whistle
707,6,Hockey Tryouts,Diane,play ! hurry !,HEADQUARTERS,hockey whistle
708,6,Hockey Tryouts,Felipe,ha ha ! gang ! work,HEADQUARTERS,window hockey island light feebly
